大分類,POIコード,POI,解説,既存コード,既存コード対象,既存コード説明,参照元,日本標準産業分類コード,日本標準産業分類名
スポーツ,1145,ヨットハーバー、マリーナ,艇庫をもち競技が行えるもの。 ,40,ヨット場 （マリーナ）,艇庫をもち競技が行えるもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,8092,マリーナ業
スポーツ,,,,0406,マリーナ・ヨットハーバー,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
スポーツ,1146,水上スキー・ウェークボード場,水上スキー・ウェークボードのために指定された海岸・海面,,,,,,
スポーツ,1147,サーフィンスポット,サーフィンの名所の海岸,,,,,,
スポーツ,1148,スキー・ スノーボード場,スキー・ スノーボード場,41,スキー・ スノーボード場,ロープトウ・リフト・ゴンドラ・ジャンプ台のうちいずれか１ つ以上を有するもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,0402,スキー場,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
スポーツ,1149,スキージャンプ台,スキージャンプ台,,,,,,
スポーツ,1150,ボブスレー・リュージュコース,ボブスレー・リュージュコース,,,,,,
スポーツ,1151,ノルディックウォーキングコース,ノルディックウォーキングコース,,,,,,
スポーツ,1152,キャンプ場,キャンプ場,42,キャンプ場,県・市区町村・団体等がキャンプ場として指定しているもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,0403,キャンプ場,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
スポーツ,,,,43,ハイキング+F322:F325コース,県・市区町村・団体等がハイキングコースとして指定しているもの。,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1153,サイクリングコース,サイクリングコース,44,サイクリングコース,県・市区町村・団体等がサイクリングコースとして指定しているもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1154,オリエンテーリングコース,オリエンテーリングコース,45,オリエンテーリングコース,県・市区町村・団体等がオリエンテーリングコースとして指定 しているもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1155,ランニングコース,ランニングコースとして指定しているもの。（学校のランニングコースも含む） ,46,ランニングコース,県・市区町村・団体等がランニングコースとして指定しているもの。（学校のランニングコースも含む） ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1156,フィールドアスレチック,フィールドアスレチィックなど冒険遊具を組み合わせてコース としているもの。,47,冒険遊具コース,フィールドアスレチィックなど冒険遊具を組み合わせてコース としているもの。（学校の運動場の一部に区分してつくられた同様の内容を有する常設のものも含む） ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1157,海水浴場,海水浴場,48,海の家・海水浴場等の施設,県・市区町村・団体等が海水浴場として指定しているもの。,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,,,,0405,海水浴場,,観光庁　観光入込客統計に関する共通基準　観光地点等分類コード ,,
スポーツ,1159,河川・湖沼等の遊泳場,県・市区町村・団体等が遊泳場として指定しているもの。 ,49,河川・湖沼等の遊泳場,県・市区町村・団体等が遊泳場として指定しているもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1160,スカイスポーツ施設,パラグライダー、ハンググライダー等のスカイスポーツを行う場所として指定しているもの。 ,50,スカイスポーツ施設,県・市区町村・団体等がパラグライダー、ハンググライダー等のスカイスポーツを行う場所として指定しているもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
スポーツ,1161,カーリング場,カーリング場,,,,,,
スポーツ,1199,その他スポーツ施設,,51,その他,上記1～50以外のもの。 ,文部科学省　体育・スポーツ施設現況調査　施設種別の定義,,
国の機関等,1201,官公署,官公署,3201,官公署,特定の記号が定められていない国の機関・施設。,国土地理院　電子国土基本図　地物種別コード,,
国の機関等,,,,3503,官公署,外国公館、および大規模な官公署については注記で表示することを原則とするが、市街地等の重要な地物を抹 消する恐れのある場合、または小規模な官公署で特に 記号がないものは、官公署の記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1202,合同庁舎,合同庁舎,611,合同庁舎,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
国の機関等,,,,612,国の機関（合同庁舎、矯正施設及び自衛隊を除く）,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,973,行政機関
国の機関等,1203,検察庁,検察庁,3505,検察庁,検察庁（同支部を含む）は注記で表示することを原則とするが、市街地等の重要な地物を抹消する恐れのある 場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1204,裁判所,裁判所,3202,裁判所,裁判所法による高等裁判所、地方裁判所、家庭裁判所及び簡易裁 判所。,国土地理院　電子国土基本図　地物種別コード,972,司法機関
国の機関等,,,,3504,裁判所,裁判所（同支部を含む）は注記で表示することを原則とするが、市街地等の重要な地物を抹消する恐れのある 場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,972,司法機関
国の機関等,,,,,法務局,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,,
国の機関等,1205,法務局,法務局,3203,税務署,財務省設置法による税務署。,国土地理院　電子国土基本図　地物種別コード,,
国の機関等,1206,法テラス,法テラス,,,,,,
国の機関等,1207,公証役場,公証役場,,,,,,
国の機関等,1208,出入国管理局,出入国管理局,,,,,,
国の機関等,1209,税関,税関,,,,,,
国の機関等,1210,税務署,税務署,3507,税務署,税務署（国税局を含む）は注記で表示することを原則とするが、市街地等の重要な地物を抹消する恐れのある 場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1211,警察署,警視庁、道府県警察本部及び警察法による警察署,3241,警察署,警視庁、道府県警察本部及び警察法による警察署,国土地理院　電子国土基本図　地物種別コード,,
国の機関等,1212,交番,警察法による交番その他の派出所及び駐在所。,3211,交番,警察法による交番その他の派出所及び駐在所。,国土地理院　電子国土基本図　地物種別コード,,
国の機関等,,,,3515,交番・駐在所,警察官駐在所、及び派出所は記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1213,運転免許試験場,運転免許試験場,,運転免許試験場,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,,
国の機関等,1214,消防署,消防組織法による消防署をいう。,3242,消防署,消防組織法による消防署をいう。ただし、支署、出張所及び分遣所については、職員が常駐している施設に限る,国土地理院　電子国土基本図　地物種別コード,,
国の機関等,1215,消防署分署,支署、出張所及び分遣所。,3516,消防署,消防署、出張所等の消防器具を装備し消防署員が常時駐在する施設は、注記で表示することを原則とするが、市街地等の重要な地物を抹消する恐れのある場合 や、消防分団等で施設の大きいものは記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1216,郵便局,普通郵便局、特定郵便局及び簡易郵便局。分室及び常設の出張所。,3509,郵便局,普通郵便局、特定郵便局については注記で表示することを原則とするが、建物の一部にあるもの、および簡易郵 便局は記号で表示する ,国土交通省　都市計画GIS　地物一覧,861,郵便局
国の機関等,,,,3218,郵便局,普通郵便局、特定郵便局及び簡易郵便局。分室及び常設の出張所 を含み、地下街にあるものを除く。,国土地理院　電子国土基本図　地物種別コード,,
国の機関等,1217,森林管理署,森林管理署,3510,森林管理署,営林署（営林局、営林支局を含む）は注記で表示することを原則とするが、市街地等の重要な地物を抹消する恐れのある場合は記号で表示する     ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1218,気象台,気象台,,気象台,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
国の機関等,1219,公共職業安定所,公共職業安定所,3517,公共職業安定所,公共職業安定所は注記で表示することを原則とするが、同出張所、および市街地等の重要な地物を抹消する恐れのある場合は記号で表示する      ,国土交通省　都市計画GIS　地物一覧,,
国の機関等,1220,労働基準監督署,労働基準監督署,,労働基準監督署,,,,
国の機関等,1221,社会保険事務所,社会保険事務所,,社会保険事務所,,,,
国の機関等,1222,矯正施設,刑務所、少年院　等。,613,矯正施設（刑務所、少年院等）,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
国の機関等,1223,自衛隊・米軍,自衛隊・米軍,615,自衛隊・米軍,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
国の機関等,1224,外国公館,外国が日本に設置している大使館、公使館及び領事館。 ,3204,外国公館,外国が日本に設置している大使館、公使館及び領事館。 ,国土地理院　電子国土基本図　地物種別コード,961,外国公館
国の機関等,1299,その他国の機関,,,,,,,
地方行政,1301,県庁,県庁,621,県庁,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,981,都道府県機関
地方行政,1302,市役所・東京都の区役所,市役所及び東京都の区役所,3205,市役所・東京都の区役所,市役所及び東京都の区役所をいい、これらの支所及び出張 所は含まない。,国土地理院　電子国土基本図　地物種別コード,982,市町村機関
地方行政,1303,町村役場・政令指定都市の区役所,町村役場及び政令指定都市の区役所,3206,町村役場・政令指定都市の区役所,町村役場及び政令指定都市の区役所をいい、これらの支所及び出張所は含まない。 ,国土地理院　電子国土基本図　地物種別コード,982,市町村機関
地方行政,1304,役場支所及び出張所,市・特別区・町・村・指定都市の区の役場支所及び出張所,3519,役場支所及び出張所,市・特別区・町・村・指定都市の区の役場支所及び出張所は記号で表示する      ,国土交通省　都市計画GIS　地物一覧,982,市町村機関
地方行政,1305,市民活動施設,市民活動施設,,市民活動施設,,,,
地方行政,1306,産業支援施設,産業支援施設,,産業支援施設,,,,
地方行政,1307,公民館,公民館,4,公立公民館,,国土交通省　国土数値情報　市町村役場等及び公的集会施設データ　施設分類コード,8211,公民館
地方行政,1308,公会堂,公会堂,3526,公会堂・公民館,公会堂・公民館は規模の大きなものは注記で表示することを原則とするが、規模の小さなもの、または市街地等 の重要な地物を抹消する恐れのある場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,8211,公民館
地方行政,,,,,公会堂・集会場,,国土交通省　国土数値情報　集客施設データ　施設区分コード,8511,集会場
地方行政,1309,集会施設,集会施設,5,集会施設,,国土交通省　国土数値情報　市町村役場等及び公的集会施設データ　施設分類コード,,
地方行政,1399,その他行政サービス施設,,3,上記以外の行政サービス施設,,国土交通省　国土数値情報　市町村役場等及び公的集会施設データ　施設分類コード,,
福祉,1401,授乳室,授乳室,,授乳室,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
福祉,1402,保育園,保育園、保育所、託児所。日日保護者の委託を受けて，乳児又は幼児を保育する福祉事業を行う施設。,0730,保育所,都市計画法第 11 条第 1 項第 6 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,8531,保育所
福祉,1403,児童館（児童センター）,児童館（児童センター）,427,児童館（児童センター）,,国土交通省　国土数値情報　福祉施設データ　福祉施設詳細分類コード,,
福祉,1404,学童保育クラブ,学童保育クラブ,,学童保育クラブ,,,,
福祉,1405,認定こども園,認定こども園,805,認定こども園,,国土交通省　国土数値情報　福祉施設データ　福祉施設詳細分類コード,819,幼保連携型認定こども園
福祉,1406,児童相談所,児童相談所,,,,,,
福祉,1407,福祉事務所,都道府県，市町村及び特別区が設置する福祉に関する事務所。,,福祉事務所,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,8521,福祉事務所
福祉,1408,老人ホーム,特別養護老人ホーム、介護老人福祉施設、有料老人ホーム　等,3215,老人ホーム,老人福祉法の老人福祉施設のうち、養護老人ホーム、特別養護老 人ホーム及び軽費老人ホーム。 ,国土地理院　電子国土基本図　地物種別コード,854,老人福祉・介護事業
福祉,1409,老人通所・短期入所介護施設,老人デイサービスセンター、老人短期入所施設、小規模多機能型居宅介護事業所　等。要介護者等を通所又は短期入所させ，介護等の日常生活上の世話や機能訓練を行う事業所。,,,,,8542,通所・短期入所介護事業
福祉,1499,その他の社会福祉施設,,0732,その他の社会福祉施設,都市計画法第 11 条第 1 項第 6 号で定められる施設,国土交通省　都市計画GIS　地物一覧,,
教育,1501,幼稚園,幼稚園・保育園,3525,幼稚園・保育園,幼稚園・保育園は注記で表示することを原則とするが、神社、寺院、教会等に併設されたものは記号で表示する ,国土交通省　都市計画GIS　地物一覧,811,幼稚園
教育,1502,学校,学校の総称,0725,学校,都市計画法第 11 条第 1 項第 5 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
教育,1503,小学校,小学校,3214,小学校,学校教育法第１条による学校のうち小学校。 ,国土地理院　電子国土基本図　地物種別コード,812,小学校
教育,1504,中学校,中学校,3213,中学校,学校教育法第１条による学校のうち中学校。 ,国土地理院　電子国土基本図　地物種別コード,813,中学校
教育,1505,高等学校・中等教育学校,高等学校・中等教育学校,3212,高等学校・中等教育学校,学校教育法第１条による学校のうち高等学校及び中等教育 学校。,国土地理院　電子国土基本図　地物種別コード,814,高等学校・中等教育学校
教育,1506,大学・大学院,大学・大学院,631,大学・大学院,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,8161,大学
教育,1507,短期大学,短期大学,632,短期大学,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,8162,短期大学
教育,1508,高等専門学校,高等専門学校,633,高等専門学校,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,8163,高等専門学校
教育,1509,特殊学校,特殊学校,634,特殊学校,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,815,特別支援学校
教育,1510,専修学校・各種学校,専修学校・各種学校,,専修学校・各種学校,,,817,専修学校・各種学校
教育,,,,3524,学校,学校教育法による学校（幼稚園、各種学校は除く）は、注記で表示することを原則とするが、狭小で注記を表示 することが困難な場合や、市街地等の重要な地物を抹 消する恐れのある場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
教育,1511,文教施設,文教施設,673,文教施設,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,,
教育,1512,図書館,図書，記録その他必要な資料を収集し，整理し，保存して，一般公衆又は特定人の利用に供する施設。,0726,図書館,都市計画法第 11 条第 1 項第 5 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,8212,図書館
教育,,,,3217,図書館,図書館法による公立図書館。分館は含まない。 ,国土地理院　電子国土基本図　地物種別コード,,
教育,1513,研究施設,研究施設,0727,研究施設,都市計画法第 11 条第 1 項第 5 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
教育,1514,職業・教育支援施設,大学校、研修センター　等。官公庁，企業若しくは事業所が業務遂行のため所属職員等を対象として教育・研修を行う事業所又は官公庁，企業若しくは事業所からの委託を受けて業務遂行のため所属職員等の教育・研修を行う施設。,,職業・教育支援施設,,,822,職業・教育支援施設
教育,1515,音楽学校,ピアノ、バイオリン、声楽等、主として音楽に関する技能・技術を教授する施設。,,音楽学校,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",8241,音楽教授業
教育,1516,自動車教習所,自動車教習所,,自動車教習所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",8172,各種学校
教育,1517,外国語学校,外国語会話を教授する施設,,外国語学校,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",8245,外国語会話教授業
教育,1518,学習塾・予備校,小学生，中学生，高校生などを対象として学校教育の補習教育又は学習指導を行う施設。,,学習塾・予備校,,,823,学習塾
教育,1519,教養・技能教授業,書道、生花・茶道、そろばん、スポーツ・健康、その他の教養・技能,,教養・技能教授業,,,824,教養・技能教授業
教育,1599,その他の教育文化施設,,0728,その他の教育文化施設,都市計画法第 11 条第 1 項第 5 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
医療・健康,1601,病院,医療法に基づく病院。,3243,病院,救急病院等を定める省令に基づき告示された救急病院及び救急診療所,国土地理院　電子国土基本図　地物種別コード,831,病院
医療・健康,,,,3532,病院,医療法に基づく病院、および規模の大きな診療所は注記で表示することを原則とするが、市街地等の重要な地 物を抹消する恐れのある場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
医療・健康,,,,0729,病院,都市計画法第 11 条第 1 項第 6 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
医療・健康,1602,診療所,医療法に基づく診療所。,,診療所,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,832,一般診療所
医療・健康,1603,歯科診療所,歯科診療所,3,歯科診療所,,国土交通省　国土数値情報　医療機関データ　医療機関分類コード,833,歯科診療所
医療・健康,1604,助産所,助産師がその業務（病院又は診療所において行うものを除く）を行う施設,,助産・看護業,,,8341,助産所
医療・健康,1605,鍼灸施設,あん摩マッサージ指圧師・はり師、きゅう師、柔道整復師の施術所,,療術業,,,835,療術業
医療・健康,1606,保健所,地域保健法による保健所。支所、出張所等は含まない。 ,3244,保健所,地域保健法による保健所。支所、出張所等は含まない。 ,国土地理院　電子国土基本図　地物種別コード,841,保健所
医療・健康,,,,3531,保健所,保健所は、注記で表示することを原則とするが、市街地 等の重要な地物を抹消する恐れのある場合は記号で表示する ,国土交通省　都市計画GIS　地物一覧,,
医療・健康,1607,献血所,献血所,,献血所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
医療・健康,1608,救護所,救護所,,救護所,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
医療・健康,1609,動物病院,獣医、動物病院,,獣医、動物病院,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
医療・健康,1610,ドラッグストア,医薬品，化粧品を中心とした健康及び美容に関する各種の商品を中心として，家庭用品，加工食品などの最寄り品をセルフサービス方式によって小売する施設。,,,,,6031,ドラッグストア
医療・健康,1611,医薬品小売店,一般用医薬品及び医療用品を小売する施設。,,薬局,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,6032,医薬品小売業
医療・健康,1612,調剤薬局,医師の処方せんに基づき医療用医薬品を調剤し，販売又は授与する施設。,,,,,6033,調剤薬局
医療・健康,1613,その他の医療施設,,0731,その他の医療施設,都市計画法第 11 条第 1 項第 6 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
エネルギー,,,,8103,発電所等,,国土地理院　電子国土基本図　地物種別コード,,
エネルギー,1901,発電所,発電所,653,発電所,,国土地理院　電子国土基本図　地物種別コード　注記分類コード,3311,発電所
エネルギー,1902,水力発電所,水力発電所,,水力発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1903,火力発電所,火力発電所,,火力発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1904,地熱発電所,地熱発電所,,地熱発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1905,原子力発電所,原子力発電所,,原子力発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1906,風力発電所,風力発電所,,風力発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1907,太陽光発電所,太陽光発電所,,太陽光発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1908,バイオマス発電所,バイオマス発電所,,バイオマス発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1909,複合型発電所,複合型発電所,,複合型発電施設,,国土交通省　国土数値情報　発電施設データ,3311,発電所
エネルギー,1910,変電所,変電所,3550,変電所,変電所は、注記で表示することを原則とするが、小規模なものは記号で表示する ,国土交通省　都市計画GIS　地物一覧,3312,変電所
エネルギー,1911,送電線,送電線,4265,送電線,概ね 20kV 以上の高圧電流を送電するものただし、地 中にある部分は取得しない ,国土交通省　都市計画GIS　地物一覧,331,電気業
エネルギー,,,,0714,電気供給施設,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,331,電気業
エネルギー,,,,0715,ガス供給施設,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,341,ガス業
エネルギー,,,,0719,その他の供給施設,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
エネルギー,,,,0720,その他の供給施設 （地域冷暖房施設）,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
エネルギー,1999,その他エネルギー施設,,,,,,,
生活インフラ,,,,0713,水道,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,361,上水道業
生活インフラ,2001,上水道関連施設,上水道関連施設,,上水道関連施設,,国土交通省　国土数値情報　上水道関連施設データ,361,上水道業
生活インフラ,2002,井戸,井戸,,井戸,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活インフラ,,,,3556,揚排水ポンプ場,農業用、工業用等のために設けられた規模の大きいものを記号で表示するただし、特に規模の大きなものは注記で表示する ,国土交通省　都市計画GIS　地物一覧,,
生活インフラ,2003,下水道関連施設,下水道関連施設,,下水道関連施設,,国土交通省　国土数値情報　下水道関連施設データ,363,下水道業
生活インフラ,,,,0716,下水道,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,363,下水道業
生活インフラ,2004,廃棄物処理施設,廃棄物処理施設,,廃棄物処理施設,,国土交通省　国土数値情報　廃棄物処理施設データ,88,廃棄物処理業
生活インフラ,2005,資源回収所,資源回収所,,資源回収所,リサイクルセンター等,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活インフラ,,,,0717,汚物処理場,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,88,廃棄物処理業
生活インフラ,2006,ごみ焼却場,ごみ焼却場,0718,ごみ焼却場,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,88,廃棄物処理業
生活インフラ,2008,その他処理施設,,0721,その他の処理施設,都市計画法第 11 条第 1 項第 3 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
生活インフラ,,,,8105,電波塔,,国土地理院　電子国土基本図　地物種別コード,,
生活インフラ,2009,火葬場,火葬場,0735,火葬場,都市計画法第 11 条第 1 項第 7 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,7951,火葬業
生活インフラ,2010,墓地,墓地,6301,墓地,死者を葬った墓及びその敷地。墓地敷地の大きさが概ね125ｍ× 125ｍ以上のもの。,国土地理院　電子国土基本図　地物種別コード,7952,墓地管理業
生活インフラ,,,,4201,墓碑,死者の氏名、戒名、没年月日、事績等を掘り込んで、 墓標として立てた石独立して 1 個、または数個が存在し、墓地として取得できない場合に墓碑として取得する ,国土交通省　都市計画GIS　地物一覧,,
生活インフラ,,,,62-,墓地,死者を葬って墓を建てる場所 ,国土交通省　都市計画GIS　地物一覧,,
生活インフラ,,,,0711,墓園,都市計画法第 11 条第 1 項第 2 号で定められる施設 ,国土交通省　都市計画GIS　地物一覧,,
生活インフラ,2099,その他生活インフラ,,,,,,,
生活支援設備,2101,トイレ,トイレ,,トイレ,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,,
生活支援設備,2102,公衆電話,公衆電話,,公衆電話,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活支援設備,2103,郵便ポスト,郵便ポスト,,郵便ポスト,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活支援設備,2104,コインロッカー,コインロッカー,,コインロッカー,,観光庁　観光立国実現に向けた多言語対応の改善・強化のためのガイドライン,7941,物品預り業
生活支援設備,2105,宅配ロッカー,宅配ロッカー,,宅配ロッカー,,,7941,物品預り業
生活支援設備,2106,自動販売機,店舗を持たず，自動販売機により衣料品，飲食料品，がん具などを小売する事業所。,,自動販売機,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",6121,自動販売機による小売業
生活支援設備,2107,ゴミ箱,ゴミ箱,,ゴミ箱,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活支援設備,2108,消火器,消火器,,消火器,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活支援設備,2109,消火栓,消火栓,,消火栓,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活支援設備,2110,ＡＥＤ,ＡＥＤ,,ＡＥＤ,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
生活支援設備,2199,その他生活支援設備,,,,,,,
防災,2201,避難施設,避難施設,,避難施設,,国土交通省　国土数値情報　避難所データ,,
防災,2202,避難場所,避難場所,,避難場所,,,,
防災,2203,津波避難施設,津波避難施設,,,,,,
防災,2204,防災倉庫,防災倉庫,,,,,,
防災,2205,給水所,給水所,,給水所,,"OpenStreetMap Wiki, JA:Map Features(2017-11-28)",,
防災,2206,防波堤,防波堤,52-,防波堤,外海からの波を防ぎ、港湾内を穏やかに保つために海中 に築造された突堤      ,国土交通省　都市計画GIS　地物一覧,,
防災,2207,防潮堤,防潮堤,0739,防潮堤,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条） ,国土交通省　都市計画GIS　地物一覧,,
防災,2208,防火水槽,防火水槽,0740,防火水槽,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条） ,国土交通省　都市計画GIS　地物一覧,,
防災,2209,河岸堤防,河岸堤防,0741,河岸堤防,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条） ,国土交通省　都市計画GIS　地物一覧,,
防災,2210,防水施設,防水施設,0743,防水施設,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条） ,国土交通省　都市計画GIS　地物一覧,,
防災,2211,地すべり防止施設,地すべり防止施設,0744,地すべり防止施設,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条） ,国土交通省　都市計画GIS　地物一覧,,
防災,2212,砂防施設,砂防施設,0745,砂防施設,都市計画法第11条第1項第11号で定められる施設 （政令第 5 条）,国土交通省　都市計画GIS　地物一覧,,
防災,2299,その他防災施設,,,,,,,
宿泊,2301,ホテル,ホテル,1,ホテル,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7751,旅館・ホテル
宿泊,,,,,ホテル,,国土交通省　国土数値情報　宿泊容量データ,7751,旅館・ホテル
宿泊,2302,ビジネスホテル,ビジネスホテル,2,ビジネスホテル,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7751,旅館・ホテル
宿泊,2303,リゾートホテル,リゾートホテル,3,リゾートホテル,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7751,旅館・ホテル
宿泊,2304,旅館,旅館,4,旅館,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7751,旅館・ホテル
宿泊,,,,,旅館,,国土交通省　国土数値情報　宿泊容量データ,7751,旅館・ホテル
宿泊,2305,民宿,民宿,5,民宿,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7521,簡易宿所
宿泊,,,,,民宿,,国土交通省　国土数値情報　宿泊容量データ,,
宿泊,2306,ユースホステル,ユースホステル,6,ユースホステル,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7591,ユースホステル
宿泊,,,,,ユースホステル,,国土交通省　国土数値情報　宿泊容量データ,,
宿泊,2307,ゲストハウス,ゲストハウス,7,ゲストハウス,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7521,簡易宿所
宿泊,2308,カプセルホテル,カプセルホテル,8,カプセルホテル,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7521,簡易宿所
宿泊,,,,,カプセルホテル,,国土交通省　国土数値情報　宿泊容量データ,,
宿泊,2309,ロッジ,ロッジ,9,ロッジ,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7521,簡易宿所
宿泊,2310,バンガロー,バンガロー,10,バンガロー,,東京都　国内外旅行者のためのわかりやすい案内サイン標準化指針【東京都版対訳表】,7521,簡易宿所
宿泊,2311,公共宿泊施設,公共宿泊施設,,公共宿泊施設,,国土交通省　国土数値情報　宿泊容量データ,,
