"通し
No",区分,分類,"分類別
No",名前,データのURL,"データ
形式",説明,公開ウェブページ,公表組織名,連絡先,更新頻度,対象地域
131,医療,医科,30,"医療機関番号（東海北陸）
医科併設（三重県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_ikaheisetu_mie201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,三重県
132,医療,医科,31,"医療機関番号（近畿）
医科（福井県）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/6fukui-kikanzentai-ika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　福井事務所,不定期,福井県
133,医療,医科,32,"医療機関番号（近畿）
医科（兵庫県）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/6hyougo-kikanzentai-ika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　兵庫事務所,不定期,兵庫県
134,医療,医科,33,"医療機関番号（近畿）
医科（滋賀県）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/6siga-kkikanzentai-ika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　滋賀事務所,不定期,滋賀県
135,医療,医科,34,"医療機関番号（近畿）
医科（奈良県）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/06nara-kikanzentai-ika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　奈良事務所,不定期,奈良県
136,医療,医科,35,"医療機関番号（近畿）
医科（京都府）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/06kyouto-kikanzentai-ika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　京都事務所,不定期,京都府
137,医療,医科,36,"医療機関番号（近畿）
医科（和歌山県）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/06wakayama-kikanzentai-ika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　和歌山事務所,不定期,和歌山県
138,医療,医科,37,"医療機関番号（近畿）
医科No1（大阪府）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/6oosaka-kikanzentai-ika1.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　指導監査課,不定期,大阪府
139,医療,医科,38,"医療機関番号（近畿）
医科No2（大阪府）",https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/documents/6oosaka-kikanzentai-ika2.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/kinki/gyomu/gyomu/hoken_kikan/shitei_jokyo.html,厚生労働省,近畿厚生局　指導監査課,不定期,大阪府
140,医療,医科,39,"医療機関番号（近畿）
医科（鳥取県）",https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/documents/31zen2606-1.xlsx,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/chousaka01.html,厚生労働省,中国四国厚生局　調査課,不定期,鳥取県
141,医療,医科,40,"医療機関番号（近畿）
医科（島根県）",https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/documents/32zen2606-1.xlsx,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/chousaka01.html,厚生労働省,中国四国厚生局　調査課,不定期,島根県
142,医療,医科,41,"医療機関番号（近畿）
医科（岡山県）",https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/documents/33zen2606-1.xlsx,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/chousaka01.html,厚生労働省,中国四国厚生局　調査課,不定期,岡山県
143,医療,医科,42,"医療機関番号（近畿）
医科（広島県）",https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/documents/34zen2606-1.xlsx,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/chousaka01.html,厚生労働省,中国四国厚生局　調査課,不定期,広島県
144,医療,医科,43,"医療機関番号（近畿）
医科（山口県）",https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/documents/35zen2606-1.xlsx,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,https://kouseikyoku.mhlw.go.jp/chugokushikoku/chousaka/chousaka01.html,厚生労働省,中国四国厚生局　調査課,不定期,山口県
145,医療,医科,44,"医療機関番号（近畿）
医科（香川県）",http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/documents/01_01.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/index.html,厚生労働省,四国厚生局　調査課,不定期,香川県
146,医療,医科,45,"医療機関番号（近畿）
医科（徳島県）",http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/documents/01_04.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/index.html,厚生労働省,四国厚生局　調査課,不定期,徳島県
147,医療,医科,46,"医療機関番号（近畿）
医科（愛媛県）",http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/documents/01_07.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/index.html,厚生労働省,四国厚生局　調査課,不定期,愛媛県
148,医療,医科,47,"医療機関番号（近畿）
医科（高知県）",http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/documents/01_10.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/shikoku/gyomu/gyomu/hoken_kikan/shitei/index.html,厚生労働省,四国厚生局　調査課,不定期,高知県
149,医療,医科,48,"医療機関番号（近畿）
医科（福岡県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/hukuoka_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　指導監査課,不定期,福岡県
150,医療,医科,49,"医療機関番号（近畿）
医科（佐賀県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/saga_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　佐賀事務所,不定期,佐賀県
151,医療,医科,50,"医療機関番号（近畿）
医科（長崎県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/nagasaki_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　長崎事務所,不定期,長崎県
152,医療,医科,51,"医療機関番号（近畿）
医科（熊本県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/kumamoto_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　熊本事務所,不定期,熊本県
153,医療,医科,52,"医療機関番号（近畿）
医科（大分県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/ooita_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　大分事務所,不定期,大分県
154,医療,医科,53,"医療機関番号（近畿）
医科（宮崎県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/miyazaki_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　宮崎事務所,不定期,宮崎県
155,医療,医科,54,"医療機関番号（近畿）
医科（鹿児島県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/kagoshima_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　鹿児島事務所,不定期,鹿児島県
156,医療,医科,55,"医療機関番号（近畿）
医科（沖縄県）",http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/documents/okinawa_ika_.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kyushu/gyomu/gyomu/hoken_kikan/index.html,厚生労働省,九州厚生局　沖縄事務所,不定期,沖縄県
157,医療,歯科,1,"医療機関番号（北海道）
歯科（札幌市内）",http://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/documents/area-sika01.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/zentai_ichiran.html,厚生労働省,北海道厚生局 医療課,不定期,北海道
158,医療,歯科,2,"医療機関番号（北海道）
歯科（函館市、小樽市、旭川市）",http://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/documents/area-sika02.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/zentai_ichiran.html,厚生労働省,北海道厚生局 医療課,不定期,北海道
159,医療,歯科,3,"医療機関番号（北海道）
歯科（上記以外の市町村）",http://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/documents/area-sika03.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/hokkaido/gyomu/gyomu/hoken_kikan/zentai_ichiran.html,厚生労働省,北海道厚生局 医療課,不定期,北海道
160,医療,歯科,4,"医療機関番号（東北）
歯科（青森県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-aomori-shika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,青森県
161,医療,歯科,5,"医療機関番号（東北）
歯科併設（青森県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-aomori-heisetsu.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,青森県
162,医療,歯科,6,"医療機関番号（東北）
歯科（岩手県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-iwate-shika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,岩手県
163,医療,歯科,7,"医療機関番号（東北）
歯科併設（岩手県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-iwate-heisetsu.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,岩手県
164,医療,歯科,8,"医療機関番号（東北）
歯科（宮城県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-miyagi-shika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,宮城県
165,医療,歯科,9,"医療機関番号（東北）
歯科併設（宮城県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-miyagi-heisetsu.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,宮城県
166,医療,歯科,10,"医療機関番号（東北）
歯科（秋田県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-akita-shika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,秋田県
167,医療,歯科,11,"医療機関番号（東北）
歯科併設（秋田県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-akita-heisetsu.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,秋田県
168,医療,歯科,12,"医療機関番号（東北）
歯科（山形県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-yamagata-shika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,山形県
169,医療,歯科,13,"医療機関番号（東北）
歯科併設（山形県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-yamagata-heisetsu.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,山形県
170,医療,歯科,14,"医療機関番号（東北）
歯科（福島県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-fukushima-shika.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,福島県
171,医療,歯科,15,"医療機関番号（東北）
歯科併設（福島県）",http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/documents/shitei-fukushima-heisetsu.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tohoku/gyomu/gyomu/hoken_kikan/itiran.html,厚生労働省,東北厚生局 医療課,不定期,福島県
172,医療,歯科,16,"医療機関番号（関東信越）
歯科（埼玉県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/shido_kansa/documents/shitei_shido_kansa_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/shido_kansa/index.html,厚生労働省,関東信越厚生局 指導監査課,不定期,埼玉県
173,医療,歯科,17,"医療機関番号（関東信越）
歯科併設（埼玉県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/shido_kansa/documents/shitei_shido_kansa_shikaheisetsu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/shido_kansa/index.html,厚生労働省,関東信越厚生局 指導監査課,不定期,埼玉県
174,医療,歯科,18,"医療機関番号（関東信越）
歯科（茨城県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/ibaraki/documents/shitei_ibaraki_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/ibaraki/index.html,厚生労働省,関東信越厚生局 茨城事務所,不定期,茨城県
175,医療,歯科,19,"医療機関番号（関東信越）
歯科併設（茨城県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/ibaraki/documents/shitei_ibaraki_shikaheisetsu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/ibaraki/index.html,厚生労働省,関東信越厚生局 茨城事務所,不定期,茨城県
176,医療,歯科,20,"医療機関番号（関東信越）
歯科（栃木県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/tochigi/documents/4shitei_tochigi_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/tochigi/index.html,厚生労働省,関東信越厚生局 栃木事務所,不定期,栃木県
177,医療,歯科,21,"医療機関番号（関東信越）
歯科（群馬県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/gunma/documents/shitei-gunma-sika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/gunma/index.html,厚生労働省,関東信越厚生局 群馬事務所,不定期,群馬県
178,医療,歯科,22,"医療機関番号（関東信越）
歯科併設（群馬県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/gunma/documents/shitei-gunma-heisetu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/gunma/index.html,厚生労働省,関東信越厚生局 群馬事務所,不定期,群馬県
179,医療,歯科,23,"医療機関番号（関東信越）
歯科（千葉県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/chiba/documents/shitei_chiba_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/chiba/index.html,厚生労働省,関東信越厚生局 千葉事務所,不定期,千葉県
180,医療,歯科,24,"医療機関番号（関東信越）
歯科併設（千葉県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/chiba/documents/shitei_chiba_shikaheisetsu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/chiba/index.html,厚生労働省,関東信越厚生局 千葉事務所,不定期,千葉県
181,医療,歯科,25,"医療機関番号（関東信越）
歯科（東京県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/tokyo/documents/shitei_tokyo_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/tokyo/index.html,厚生労働省,関東信越厚生局 東京事務所,不定期,東京都
182,医療,歯科,26,"医療機関番号（関東信越）
歯科（神奈川県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/kanagawa/documents/shitei_kanagawa_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/kanagawa/index.html,厚生労働省,関東信越厚生局 神奈川事務所,不定期,神奈川県
183,医療,歯科,27,"医療機関番号（関東信越）
歯科併設（神奈川県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/kanagawa/documents/shitei_kanagawa_shikaheisetsu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/kanagawa/index.html,厚生労働省,関東信越厚生局 神奈川事務所,不定期,神奈川県
184,医療,歯科,28,"医療機関番号（関東信越）
歯科（新潟県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/niigata/documents/06_shitei_niigata_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/niigata/index.html,厚生労働省,関東信越厚生局 新潟事務所,不定期,新潟県
185,医療,歯科,29,"医療機関番号（関東信越）
歯科併設（新潟県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/niigata/documents/08_shitei_niigata_shikaheisetsu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/niigata/index.html,厚生労働省,関東信越厚生局 新潟事務所,不定期,新潟県
186,医療,歯科,30,"医療機関番号（関東信越）
歯科（山梨県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/yamanashi/documents/ko-dobetuitirannsika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/yamanashi/index.html,厚生労働省,関東信越厚生局 山梨事務所,不定期,山梨県
187,医療,歯科,31,"医療機関番号（関東信越）
歯科（長野県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/nagano/documents/shitei_nagano_shika.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/nagano/index.html,厚生労働省,関東信越厚生局 長野事務所,不定期,長野県
188,医療,歯科,32,"医療機関番号（関東信越）
歯科併設（長野県）",http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/nagano/documents/shitei_nagano_shikaheisetsu.xls,xls,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/kantoshinetsu/gyomu/bu_ka/nagano/index.html,厚生労働省,関東信越厚生局 長野事務所,不定期,長野県
189,医療,歯科,33,"医療機関番号（東海北陸）
歯科（冨山県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sika_toyama201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,富山県
190,医療,歯科,34,"医療機関番号（東海北陸）
歯科併設（冨山県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sikaheisetu_toyama201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,富山県
191,医療,歯科,35,"医療機関番号（東海北陸）
歯科（石川県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sika_isikawa201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,石川県
192,医療,歯科,36,"医療機関番号（東海北陸）
歯科併設（石川県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sikaheisetu_isikawa201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,石川県
193,医療,歯科,37,"医療機関番号（東海北陸）
歯科（岐阜県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sika_gihu201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,岐阜県
194,医療,歯科,38,"医療機関番号（東海北陸）
歯科併設（岐阜県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sikaheisetu_gihu201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,岐阜県
195,医療,歯科,39,"医療機関番号（東海北陸）
歯科（静岡県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sika_sizuoka201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,静岡県
196,医療,歯科,40,"医療機関番号（東海北陸）
歯科併設（静岡県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sikaheisetu_sizuoka201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,静岡県
197,医療,歯科,41,"医療機関番号（東海北陸）
歯科（愛知県）",http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/documents/zen_sika_aiti201406.pdf,pdf,地方厚生局が管理する医科、歯科、薬局の機関番号,http://kouseikyoku.mhlw.go.jp/tokaihokuriku/gyomu/gyomu/hoken_kikan/shitei.html,厚生労働省,東海北陸厚生局　調査課,不定期,愛知県
